,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Ust-Kuyga,70.02,135.6,2.03,85,4,5.86,RU,04/17/20
1,Vaini,-21.2,-175.2,82.4,65,20,12.75,TO,04/17/20
2,Dāmghān,36.17,54.35,56.34,34,10,4.12,IR,04/17/20
3,Tegul'det,57.31,88.17,43.61,62,0,5.61,RU,04/17/20
4,Lata,40.16,-8.33,55.0,91,0,2.48,PT,04/17/20
5,Atuona,-9.8,-139.03,82.35,75,84,13.06,PF,04/17/20
6,Manado,1.49,124.85,87.8,66,40,10.29,ID,04/17/20
7,Clearwater,27.97,-82.8,73.99,94,1,3.71,US,04/17/20
8,Yellowknife,62.46,-114.35,26.6,63,90,9.17,CA,04/17/20
9,Rikitea,-23.12,-134.97,77.36,63,1,1.99,PF,04/17/20
10,Port Augusta,-32.5,137.77,66.99,55,19,6.93,AU,04/17/20
11,São João da Barra,-21.64,-41.05,72.48,83,96,11.12,BR,04/17/20
12,Nanortalik,60.14,-45.24,28.58,90,100,14.85,GL,04/17/20
13,Kapaa,22.08,-159.32,80.6,65,1,12.75,US,04/17/20
14,Mataura,-46.19,168.86,60.01,51,35,10.0,NZ,04/17/20
15,Jamestown,42.1,-79.24,32.0,100,90,3.36,US,04/17/20
16,Ushuaia,-54.8,-68.3,48.2,61,40,8.05,AR,04/17/20
17,Longyearbyen,78.22,15.64,28.4,100,75,9.17,SJ,04/17/20
18,New Norfolk,-42.78,147.06,55.0,71,93,1.99,AU,04/17/20
19,Oktyabr'skoye,43.06,44.74,46.18,44,100,1.86,RU,04/17/20
20,Busselton,-33.65,115.33,72.0,39,98,7.09,AU,04/17/20
21,Fortuna,40.6,-124.16,55.99,93,1,6.93,US,04/17/20
22,Kuching,1.55,110.33,73.4,100,40,4.38,MY,04/17/20
23,Dicabisagan,17.08,122.42,84.15,68,80,7.67,PH,04/17/20
24,Bethel,41.37,-73.41,37.0,93,90,5.82,US,04/17/20
25,Flinders,-34.58,150.86,72.0,44,0,7.0,AU,04/17/20
26,Tiksi,71.69,128.87,9.32,93,100,6.04,RU,04/17/20
27,Saint-Philippe,-21.36,55.77,75.2,83,20,12.75,RE,04/17/20
28,Yar-Sale,66.83,70.83,34.92,98,100,10.69,RU,04/17/20
29,São Félix do Xingu,-6.64,-51.99,70.65,92,100,1.28,BR,04/17/20
30,Kahului,20.89,-156.47,82.4,51,40,20.8,US,04/17/20
31,Stromness,58.97,-3.3,41.0,86,0,4.7,GB,04/17/20
32,Luangwa,-15.62,30.42,73.54,72,11,7.14,ZM,04/17/20
33,Jamshedpur,22.8,86.18,80.6,74,75,1.66,IN,04/17/20
34,Durban,-29.86,31.03,60.8,87,0,1.12,ZA,04/17/20
35,Castro,-24.79,-50.01,51.35,67,69,3.85,BR,04/17/20
36,Hermanus,-34.42,19.23,57.99,78,84,1.99,ZA,04/17/20
37,Punta Arenas,-53.15,-70.92,44.6,75,14,10.29,CL,04/17/20
38,Isangel,-19.55,169.27,84.2,70,75,3.36,VU,04/17/20
39,Port Alfred,-33.59,26.89,64.0,94,55,4.0,ZA,04/17/20
40,Sambava,-14.27,50.17,73.76,85,57,8.16,MG,04/17/20
41,Mar del Plata,-38.0,-57.56,61.0,87,0,9.17,AR,04/17/20
42,Bluff,-46.6,168.33,60.01,51,47,10.0,NZ,04/17/20
43,Barrow,71.29,-156.79,10.4,85,90,17.22,US,04/17/20
44,Bengkulu,-3.8,102.27,84.81,68,77,4.85,ID,04/17/20
45,Yemel'yanovo,56.17,92.68,44.6,52,9,6.71,RU,04/17/20
46,Tasiilaq,65.61,-37.64,35.6,69,73,18.34,GL,04/17/20
47,Caravelas,-17.71,-39.25,77.63,86,17,14.45,BR,04/17/20
48,Kysyl-Syr,63.9,122.76,12.88,87,7,9.13,RU,04/17/20
49,Khatanga,71.97,102.5,15.76,92,0,13.6,RU,04/17/20
50,Albany,42.6,-73.97,37.0,78,100,3.87,US,04/17/20
51,Sarkand,45.41,79.92,58.26,30,63,3.13,KZ,04/17/20
52,Øksfjord,70.24,22.35,35.01,80,93,8.99,NO,04/17/20
53,Cape Town,-33.93,18.42,50.0,81,55,2.24,ZA,04/17/20
54,Oistins,13.07,-59.53,78.8,74,75,17.22,BB,04/17/20
55,Belém de São Francisco,-8.75,-38.97,74.75,78,78,11.83,BR,04/17/20
56,Thompson,55.74,-97.86,30.2,92,90,21.92,CA,04/17/20
57,Fort Nelson,58.81,-122.7,48.2,31,20,4.7,CA,04/17/20
58,Hofn,64.25,-15.21,42.24,83,100,10.0,IS,04/17/20
59,Aswān,24.09,32.91,63.93,45,60,8.16,EG,04/17/20
60,Provideniya,64.38,-173.3,26.51,95,100,20.11,RU,04/17/20
61,Van Buren,35.44,-94.35,48.2,66,90,10.29,US,04/17/20
62,Carutapera,-1.2,-46.02,76.77,90,100,6.82,BR,04/17/20
63,Kavieng,-2.57,150.8,82.98,71,60,4.41,PG,04/17/20
64,Krasnosel'kup,65.7,82.47,35.85,98,100,17.87,RU,04/17/20
65,Lompoc,34.64,-120.46,57.2,82,90,3.36,US,04/17/20
66,Hobart,-42.88,147.33,55.99,47,40,10.29,AU,04/17/20
67,Yudong,29.39,106.52,64.0,93,90,13.42,CN,04/17/20
68,Smoky Lake,54.12,-112.47,35.6,74,100,11.41,CA,04/17/20
69,Margate,51.38,1.39,48.0,96,99,8.01,GB,04/17/20
70,Roebourne,-20.78,117.13,94.21,32,84,3.38,AU,04/17/20
71,Lubango,-14.92,13.49,59.11,53,90,1.28,AO,04/17/20
72,Rodino,52.5,80.25,53.19,56,0,8.08,RU,04/17/20
73,Hurghada,27.26,33.81,64.4,52,84,9.17,EG,04/17/20
74,Pangai,-19.8,-174.35,80.6,78,20,12.75,TO,04/17/20
75,Oppdal,62.59,9.69,20.19,81,78,3.69,NO,04/17/20
76,Kulachi,31.93,70.46,70.48,55,0,3.6,PK,04/17/20
77,Payakumbuh,-0.22,100.63,84.02,55,51,2.37,ID,04/17/20
78,Kaitangata,-46.28,169.85,55.99,80,96,20.0,NZ,04/17/20
79,Vao,-22.67,167.48,74.79,69,51,9.75,NC,04/17/20
80,Lagoa,39.05,-27.98,60.37,72,58,11.7,PT,04/17/20
81,Hasaki,35.73,140.83,57.2,100,75,28.86,JP,04/17/20
82,Cabo San Lucas,22.89,-109.91,66.99,72,5,16.11,MX,04/17/20
83,Rafsanjān,30.41,55.99,58.39,38,1,1.61,IR,04/17/20
84,Zambezi,-13.54,23.1,63.73,65,17,5.55,ZM,04/17/20
85,Kavaratti,10.57,72.64,84.72,68,96,3.78,IN,04/17/20
86,Pevek,69.7,170.31,8.28,93,23,9.26,RU,04/17/20
87,Ribeira Grande,38.52,-28.7,60.24,80,67,12.75,PT,04/17/20
88,Prainha,-1.8,-53.48,72.95,98,100,0.98,BR,04/17/20
89,Tilichiki,60.47,166.1,16.02,91,35,16.84,RU,04/17/20
90,Alice Springs,-23.7,133.88,78.8,29,40,10.29,AU,04/17/20
91,Anna Paulowna,52.86,4.83,46.0,81,90,13.87,NL,04/17/20
92,Tadine,-21.55,167.88,78.69,60,36,9.44,NC,04/17/20
93,Labuhan,-6.88,112.21,87.76,67,45,3.74,ID,04/17/20
94,Kalmunai,7.42,81.82,85.53,67,81,8.61,LK,04/17/20
95,Marsh Harbour,26.54,-77.06,76.42,86,83,15.86,BS,04/17/20
96,Atikokan,48.76,-91.62,31.64,77,17,7.76,CA,04/17/20
97,Mikumi,-7.4,36.98,68.65,80,52,3.87,TZ,04/17/20
98,Grand Baie,-20.02,57.58,75.2,83,75,8.05,MU,04/17/20
99,Rivière-du-Loup,47.83,-69.53,28.67,91,0,6.91,CA,04/17/20
100,Saint Paul Harbor,57.79,-152.41,50.0,76,90,13.87,US,04/17/20
101,Laas,46.62,10.7,48.0,52,93,1.57,IT,04/17/20
102,Khandyga,62.67,135.6,12.58,84,69,4.74,RU,04/17/20
103,Bredasdorp,-34.53,20.04,57.99,87,100,3.36,ZA,04/17/20
104,Tocopilla,-22.09,-70.2,72.0,39,8,5.26,CL,04/17/20
105,Sistranda,63.73,8.83,41.0,86,75,13.87,NO,04/17/20
106,Northam,51.03,-4.22,50.0,92,100,3.0,GB,04/17/20
107,San Cristobal,7.77,-72.22,68.23,54,88,1.72,VE,04/17/20
108,Codrington,-38.27,141.97,58.51,64,100,7.0,AU,04/17/20
109,Tessalit,20.2,1.01,81.27,17,0,6.76,ML,04/17/20
110,Berlevåg,70.86,29.09,35.06,93,100,25.61,NO,04/17/20
111,Monte Alegre,-2.01,-54.07,73.11,98,100,1.39,BR,04/17/20
112,Garden City,42.33,-83.33,35.6,86,90,4.85,US,04/17/20
113,Fremont,37.55,-121.99,57.99,67,1,11.41,US,04/17/20
114,Wanning,18.8,110.4,80.08,81,98,8.3,CN,04/17/20
115,Te Anau,-45.42,167.72,51.21,56,49,8.61,NZ,04/17/20
116,Puerto Ayora,-0.74,-90.35,75.99,94,82,1.99,EC,04/17/20
117,Chaplygin,53.24,39.96,30.2,92,21,8.95,RU,04/17/20
118,Grand Gaube,-20.01,57.66,75.2,83,75,8.05,MU,04/17/20
119,Qaanaaq,77.48,-69.36,11.48,80,13,8.03,GL,04/17/20
120,Kapoeta,4.77,33.59,78.21,52,100,6.89,SS,04/17/20
121,Mount Gambier,-37.83,140.77,60.8,63,75,4.7,AU,04/17/20
122,Kompaniyivka,48.25,32.21,39.6,72,36,6.78,UA,04/17/20
123,Nemuro,43.32,145.57,59.0,26,20,11.41,JP,04/17/20
124,Ishigaki,24.34,124.16,78.8,88,75,9.17,JP,04/17/20
125,Hilo,19.73,-155.09,80.6,51,20,6.93,US,04/17/20
126,Genhe,50.78,121.52,56.57,26,45,6.73,CN,04/17/20
127,Ures,29.43,-110.4,73.99,23,5,1.99,MX,04/17/20
128,Port Blair,11.67,92.75,83.5,71,61,3.38,IN,04/17/20
129,Verkhnyaya Inta,65.98,60.31,34.7,82,83,8.59,RU,04/17/20
130,Avarua,-21.21,-159.78,80.6,69,10,4.7,CK,04/17/20
131,Olafsvik,64.89,-23.71,42.3,84,100,28.05,IS,04/17/20
132,Worland,44.02,-107.96,46.99,45,1,8.05,US,04/17/20
133,Kirando,-7.42,30.6,73.51,62,100,6.6,TZ,04/17/20
134,Vila,42.03,-8.16,51.8,100,40,6.93,PT,04/17/20
135,La Primavera,5.49,-70.41,85.35,46,80,2.73,CO,04/17/20
136,Ābādān,30.34,48.3,75.2,57,75,4.7,IR,04/17/20
137,Kabala,9.58,-11.55,75.74,73,100,5.7,SL,04/17/20
138,Kundiawa,-6.02,144.97,79.59,36,98,0.43,PG,04/17/20
139,Butaritari,3.07,172.79,82.33,80,82,14.81,KI,04/17/20
140,Turukhansk,65.82,87.98,39.02,87,71,10.76,RU,04/17/20
141,Saskylakh,71.92,114.08,8.71,88,0,4.99,RU,04/17/20
142,Lukovetskiy,64.3,41.92,32.0,98,90,5.95,RU,04/17/20
143,Puerto Cabezas,14.04,-83.39,76.77,84,19,4.88,NI,04/17/20
144,Sitka,57.05,-135.33,50.0,76,75,3.36,US,04/17/20
145,Cidreira,-30.18,-50.21,64.29,87,4,2.15,BR,04/17/20
146,Chokurdakh,70.63,147.92,-3.08,90,50,4.85,RU,04/17/20
147,Kalmar,56.66,16.36,39.0,76,36,5.82,SE,04/17/20
