,City,Country,Lat,Lng,Hotel Name
0,Ust-Kuyga,RU,70.02,135.6,
1,Vaini,TO,-21.2,-175.2,Paradise First Hotel
2,Dāmghān,IR,36.17,54.35,Damghan Tourism Hotel
3,Tegul'det,RU,57.31,88.17,Gostinitsa Kedr
4,Lata,PT,40.16,-8.33,Quinta do Outeiro
5,Atuona,PF,-9.8,-139.03,Hôtel Hiva Oa Hanakee Lodge
6,Manado,ID,1.49,124.85,Four Points by Sheraton Manado
7,Clearwater,US,27.97,-82.8,Hilton Clearwater Beach Resort & Spa
8,Yellowknife,CA,62.46,-114.35,The Explorer Hotel
9,Rikitea,PF,-23.12,-134.97,Pension Maro'i
10,Port Augusta,AU,-32.5,137.77,The Hotel Flinders
11,São João da Barra,BR,-21.64,-41.05,Pousada Kactus
12,Nanortalik,GL,60.14,-45.24,Hotel Kap Farvel
13,Kapaa,US,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
14,Mataura,NZ,-46.19,168.86,Ellie's Villa
15,Jamestown,US,42.1,-79.24,Chautauqua Harbor Hotel
16,Ushuaia,AR,-54.8,-68.3,Los Cauquenes Resort & Spa
17,Longyearbyen,SJ,78.22,15.64,Mary-Ann's Polarrigg
18,New Norfolk,AU,-42.78,147.06,Tynwald Willow Bend Estate
19,Oktyabr'skoye,RU,43.06,44.74,Aleksandrovskiy
20,Busselton,AU,-33.65,115.33,Esplanade Hotel
21,Fortuna,US,40.6,-124.16,Best Western Country Inn
22,Kuching,MY,1.55,110.33,The Waterfront Hotel
23,Dicabisagan,PH,17.08,122.42,
24,Bethel,US,41.37,-73.41,Hampton Inn Danbury
25,Flinders,AU,-34.58,150.86,Shellharbour Resort & Conference Centre
26,Tiksi,RU,71.69,128.87,Arktika
27,Saint-Philippe,RE,-21.36,55.77,Pinpin d'Amour
28,Yar-Sale,RU,66.83,70.83,"Hotel ""Nord House"""
29,São Félix do Xingu,BR,-6.64,-51.99,Dumont Palace Hotel
30,Kahului,US,20.89,-156.47,Maui Beach Hotel
31,Stromness,GB,58.97,-3.3,The Standing Stones Hotel
32,Luangwa,ZM,-15.62,30.42,"Justfeeli Lodge, Luangwa"
33,Jamshedpur,IN,22.8,86.18,Hotel Alcor
34,Durban,ZA,-29.86,31.03,Southern Sun Elangeni & Maharani
35,Castro,BR,-24.79,-50.01,Hotel Buganville Express
36,Hermanus,ZA,-34.42,19.23,Birkenhead House
37,Punta Arenas,CL,-53.15,-70.92,Hotel Carpa Manzano
38,Isangel,VU,-19.55,169.27,Quarumanu area
39,Port Alfred,ZA,-33.59,26.89,The Halyards Hotel
40,Sambava,MG,-14.27,50.17,Carrefour
41,Mar del Plata,AR,-38.0,-57.56,Sheraton Mar del Plata Hotel
42,Bluff,NZ,-46.6,168.33,Foveaux Hotel
43,Barrow,US,71.29,-156.79,Top of the World Hotel
44,Bengkulu,ID,-3.8,102.27,Mercure Bengkulu
45,Yemel'yanovo,RU,56.17,92.68,
46,Tasiilaq,GL,65.61,-37.64,Hotel Angmagssalik
47,Caravelas,BR,-17.71,-39.25,Pousada Liberdade
48,Kysyl-Syr,RU,63.9,122.76,
49,Khatanga,RU,71.97,102.5,"Gostinitsa ""Zapolyar'ye"""
50,Albany,US,42.6,-73.97,
51,Sarkand,KZ,45.41,79.92,Гостиница Сарканд
52,Øksfjord,NO,70.24,22.35,
53,Cape Town,ZA,-33.93,18.42,Atlanticview Cape Town Boutique Hotel
54,Oistins,BB,13.07,-59.53,Turtle Beach By Elegant Hotels
55,Belém de São Francisco,BR,-8.75,-38.97,Village Hotel
56,Thompson,CA,55.74,-97.86,Best Western Thompson Hotel & Suites
57,Fort Nelson,CA,58.81,-122.7,Lakeview Inns & Suites - Fort Nelson
58,Hofn,IS,64.25,-15.21,Milk Factory
59,Aswān,EG,24.09,32.91,Sofitel Legend Old Cataract Aswan
60,Provideniya,RU,64.38,-173.3,
61,Van Buren,US,35.44,-94.35,Hampton Inn Van Buren
62,Carutapera,BR,-1.2,-46.02,HOTEL R. SOARES
63,Kavieng,PG,-2.57,150.8,Nusa Island Retreat
64,Krasnosel'kup,RU,65.7,82.47,Krasnosel'kupnefteprodukt
65,Lompoc,US,34.64,-120.46,Embassy Suites by Hilton Lompoc Central Coast
66,Hobart,AU,-42.88,147.33,Hotel Grand Chancellor Hobart
67,Yudong,CN,29.39,106.52,Yiju Hotel
68,Smoky Lake,CA,54.12,-112.47,Country Garden Hotel
